,20°F,25°F,30°F,35°F,40°F,45°F,50°F,55°F,60°F,65°F,70°F,75°F,80°F,85°F,90°F,95°F,100°F
5%,3.9,3.8,3.7,3.6,3.5,3.4,3.3,3.2,3.2,3.1,3,3,2.9,2.9,2.8,2.8,2.7
10%,5.7,5.5,5.3,5.2,5,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.2,4.1,4,3.9
15%,7,6.8,6.6,6.4,6.3,6.1,6,5.8,5.7,5.6,5.5,5.4,5.3,5.2,5.1,5,4.9
20%,8.2,8,7.8,7.6,7.4,7.2,7,6.9,6.7,6.6,6.4,6.3,6.2,6.1,6,5.9,5.8
25%,9.3,9.1,8.8,8.6,8.3,8.1,8,7.8,7.6,7.5,7.3,7.2,7,6.9,6.8,6.7,6.6
30%,10.4,10,9.8,9.5,9.3,9,8.8,8.6,8.5,8.3,8.1,8,7.8,7.7,7.6,7.4,7.3
35%,11.3,11,10.7,10.4,10.2,9.9,9.7,9.5,9.3,9.1,8.9,8.8,8.6,8.4,8.3,8.2,8
40%,12.3,11.9,11.6,11.3,11,10.8,10.5,10.3,10.1,9.9,9.7,9.5,9.3,9.2,9,8.9,8.7
45%,13.2,12.8,12.5,12.2,11.9,11.6,11.3,11.1,10.9,10.7,10.5,10.3,10.1,9.9,9.7,9.6,9.4
50%,14.2,13.8,13.4,13,12.7,12.4,12.2,11.9,11.7,11.4,11.2,11,10.8,10.6,10.5,10.3,10.1
55%,15.1,14.7,14.3,13.9,13.6,13.3,13,12.7,12.5,12.2,12,11.8,11.6,11.4,11.2,11,10.9
60%,16.1,15.6,15.2,14.8,14.5,14.2,13.9,13.6,13.3,13,12.8,12.6,12.4,12.1,12,11.8,11.6
65%,17.1,16.6,16.2,15.8,15.4,15.1,14.8,14.4,14.2,13.9,13.6,13.4,13.2,13,12.7,12.5,12.4
70%,18.2,17.7,17.2,16.8,16.4,16,15.7,15.4,15.1,14.8,14.5,14.3,14,13.8,13.6,13.4,13.2
75%,19.3,18.8,18.3,17.9,17.5,17.1,16.7,16.4,16.1,15.8,15.5,15.2,15,14.7,14.5,14.3,14.1
80%,20.6,20,19.5,19.1,18.7,18.3,17.9,17.5,17.2,16.9,16.6,16.3,16,15.8,15.5,15.3,15.1
85%,22.1,21.5,21,20.5,20,19.6,19.2,18.8,18.5,18.1,17.8,17.5,17.2,17,16.7,16.5,16.2
90%,23.9,23.3,22.7,22.2,21.7,21.3,20.9,20.5,20.1,19.7,19.4,19.1,18.8,18.5,18.2,17.9,17.7
95%,26.6,25.9,25.3,24.8,24.2,23.8,23.3,22.9,22.5,22.1,21.7,21.4,21,20.7,20.4,20.1,19.8
