,20°F,25°F,30°F,35°F,40°F,45°F,50°F,55°F,60°F,65°F,70°F,75°F,80°F,85°F,90°F,95°F,100°F
5%,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1,1,1,1,1,1
10%,2.2,2.2,2.1,2.1,2.1,2,2,2,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.7
15%,3.1,3.1,3,3,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.6,2.6,2.6,2.5,2.5,2.5
20%,4,4,3.9,3.8,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.4,3.4,3.3,3.3,3.2,3.2
25%,4.9,4.8,4.8,4.7,4.6,4.5,4.5,4.4,4.3,4.3,4.2,4.2,4.1,4,4,3.9,3.9
30%,5.8,5.7,5.6,5.5,5.5,5.4,5.3,5.2,5.1,5.1,5,4.9,4.9,4.8,4.7,4.7,4.6
35%,6.7,6.6,6.5,6.4,6.3,6.2,6.1,6,5.9,5.9,5.8,5.7,5.6,5.6,5.5,5.4,5.3
40%,7.7,7.5,7.4,7.3,7.2,7.1,7,6.9,6.8,6.7,6.6,6.5,6.4,6.3,6.3,6.2,6.1
45%,8.6,8.5,8.4,8.2,8.1,8,7.9,7.8,7.6,7.5,7.4,7.3,7.2,7.1,7.1,7,6.9
50%,9.6,9.5,9.3,9.2,9.1,8.9,8.8,8.7,8.6,8.4,8.3,8.2,8.1,8,7.9,7.8,7.7
55%,10.7,10.5,10.4,10.2,10.1,9.9,9.8,9.6,9.5,9.4,9.3,9.1,9,8.9,8.7,8.7,8.6
60%,11.8,11.6,11.5,11.3,11.1,11,10.8,10.7,10.5,10.4,10.2,10.1,10,9.9,9.6,9.6,9.5
65%,13.1,12.9,12.7,12.5,12.3,12.1,11.9,11.8,11.6,11.5,11.3,11.2,11,10.9,10.6,10.6,10.5
70%,14.4,14.2,14,13.8,13.6,13.4,13.2,13,12.8,12.7,12.5,12.3,12.2,12,11.7,11.7,11.6
75%,15.9,15.6,15.4,15.2,15,14.8,14.6,14.4,14.2,14,13.8,13.7,13.5,13.3,13,13,12.9
80%,17.6,17.3,17.1,16.8,16.6,16.4,16.2,16,15.7,15.5,15.4,15.2,15,14.8,14.5,14.5,14.3
85%,19.6,19.3,19.1,18.8,18.6,18.3,18.1,17.8,17.6,17.4,17.2,17,16.8,16.6,16.2,16.2,16
90%,22.3,22,21.7,21.4,21.1,20.8,20.6,20.3,20.1,19.8,19.6,19.3,19.1,18.9,18.5,18.5,18.3
95%,26.2,25.9,25.5,25.2,24.9,24.6,24.3,24,23.7,23.5,23.2,23,22.7,22.5,22,22,21.7
